Token Index,ICD-9,ICD-10,ICD-10-Align-Hierarchy,SHORT-TITLE
0,78002,R404,R40.4,transient alteration of awareness
1,1620,C33,C33,malignant neoplasm of trachea
2,E8384,V944XXA,V94.4,injury to barefoot water-skier
3,07052,B170,B17.0,acute delta-(super) infection of hepatitis b carrier
4,44489,I748,I74.8,embolism and thrombosis of other arteries
5,E8260,V0100XA,V01.00,pedestrian on foot injured in collision with pedal cycle in nontraffic accident
6,27652,E861,E86.1,hypovolemia
7,E8141,V406XXA,V40.6,car passenger injured in collision with pedestrian or animal in traffic accident
8,73017,M86679,M86.67,"other chronic osteomyelitis, ankle and foot"
9,4168,I2729,I27.29,other secondary pulmonary hypertension
10,42689,I4589,I45.89,other specified conduction disorders
11,35801,G7001,G70.01,myasthenia gravis with (acute) exacerbation
12,3570,G610,G61.0,guillain-barre syndrome
13,E848,V988XXA,V98.8,other specified transport accidents
14,E9064,W57XXXA,W57,bitten or stung by nonvenomous insect and other nonvenomous arthropods
15,66602,O720,O72.0,third-stage hemorrhage
16,9514,S0450XA,S04.50,"injury of facial nerve, unspecified side"
17,85226,S065X9A,S06.5X,traumatic subdural hemorrhage
18,V1588,Z9181,Z91.81,history of falling
19,80035,S06368A,S06.36,"traumatic hemorrhage of cerebrum, unspecified"
20,9032,S65109A,S65.10,unspecified injury of radial artery at wrist and hand level
21,V453,Z980,Z98.0,intestinal bypass and anastomosis status
22,1429,C089,C08.9,"malignant neoplasm of major salivary gland, unspecified"
23,6111,N62,N62,hypertrophy of breast
24,47825,J392,J39.2,other diseases of pharynx
25,7608,P0089,P00.89,newborn affected by other maternal conditions
26,E9803,T50.9X5,T50.9,"poisoning by, adverse effect of and underdosing of other and unspecified drugs, medicaments and biological substances"
27,5582,K521,K52.1,toxic gastroenteritis and colitis
28,71592,M1990,M19.90,"unspecified osteoarthritis, unspecified site"
29,75312,Q613,Q61.3,"polycystic kidney, unspecified"
30,27803,E662,E66.2,morbid (severe) obesity with alveolar hypoventilation
31,72763,M66249,M66.24,"spontaneous rupture of extensor tendons, hand"
32,78003,R403,R40.3,persistent vegetative state
33,83969,S3339XA,S33.39,dislocation of other parts of lumbar spine and pelvis
34,9578,S149XXA,S14.9,injury of unspecified nerves of neck
35,37274,H11419,H11.41,vascular abnormalities of conjunctiva
36,E9138,T71.51XA,T71,asphyxiation
37,7904,R740,R74.0,nonspecific elevation of levels of transaminase and lactic acid dehydrogenase [ldh]
38,45620,I8511,I85.11,secondary esophageal varices with bleeding
39,23773,Q8503,Q85.03,schwannomatosis
40,7916,R824,R82.4,acetonuria
41,82030,S72109C,S72.10,unspecified trochanteric fracture of femur
42,20200,C8299,C82.99,"follicular lymphoma, unspecified, extranodal and solid organ sites"
43,53260,K266,K26.6,chronic or unspecified duodenal ulcer with both hemorrhage and perforation
44,4400,I700,I70.0,atherosclerosis of aorta
45,28411,D61810,D61.81,pancytopenia
46,9083,S95909S,S95.90,unspecified injury of unspecified blood vessel at ankle and foot level
47,82330,S82209C,S82.20,unspecified fracture of shaft of tibia
48,2903,F05,F05,delirium due to known physiological condition
49,79901,R0901,R09.01,asphyxia
50,E8192,V299XXA,V29.9,motorcycle rider (driver) (passenger) injured in unspecified traffic accident
51,81010,S42009B,S42.00,fracture of unspecified part of clavicle
52,41051,I2129,I21.29,st elevation (stemi) myocardial infarction involving other sites
53,9518,S04899A,S04.89,injury of other cranial nerves
54,72230,M519,M51.9,"unspecified thoracic, thoracolumbar and lumbosacral intervertebral disc disorder"
55,1707,C4020,C40.20,malignant neoplasm of long bones of unspecified lower limb
56,30751,F502,F50.2,bulimia nervosa
57,78900,R109,R10.9,unspecified abdominal pain
58,V1364,Z87790,Z87.79,personal history of other (corrected) congenital malformations
59,8710,S0530XA,S05.30,"ocular laceration without prolapse or loss of intraocular tissue, unspecified eye"
60,311,F329,F32.9,"major depressive disorder, single episode, unspecified"
61,85223,S065X4A,S06.5X,traumatic subdural hemorrhage
62,83301,S63016A,S63.01,subluxation and dislocation of distal radioulnar joint
63,7585,Q928,Q92.8,other specified trisomies and partial trisomies of autosomes
64,83902,S13121A,S13.12,subluxation and dislocation of c1/c2 cervical vertebrae
65,8690,S3790XA,S37.90,unspecified injury of unspecified urinary and pelvic organ
66,74100,Q0703,Q07.03,arnold-chiari syndrome with spina bifida and hydrocephalus
67,30120,F601,F60.1,schizoid personality disorder
68,36510,H4010X4,H40.10,unspecified open-angle glaucoma
69,56213,K5733,K57.33,diverticulitis of large intestine without perforation or abscess with bleeding
70,5831,N052,N05.2,unspecified nephritic syndrome with diffuse membranous glomerulonephritis
71,1953,C763,C76.3,malignant neoplasm of pelvis
72,E9651,X940XXA,X94.0,assault by shotgun
73,80105,S02109A,S02.10,unspecified fracture of base of skull
74,03843,A4152,A41.52,sepsis due to pseudomonas
75,57441,K8045,K80.45,calculus of bile duct with chronic cholecystitis with obstruction
76,78902,R1012,R10.12,left upper quadrant pain
77,34489,G8389,G83.89,other specified paralytic syndromes
78,7485,Q336,Q33.6,congenital hypoplasia and dysplasia of lung
79,5609,K56609,K56.60,unspecified intestinal obstruction
80,60783,N4889,N48.89,other specified disorders of penis
81,9619,T3794XA,T37.94,"poisoning by unspecified systemic anti-infective and antiparasitics, undetermined"
82,71926,M12269,M12.26,"villonodular synovitis (pigmented), knee"
83,76511,P0701,P07.01,"extremely low birth weight newborn, less than 500 grams"
84,70720,L89.1,L89.1,pressure ulcer of back
85,30989,F438,F43.8,other reactions to severe stress
86,6923,L251,L25.1,unspecified contact dermatitis due to drugs in contact with skin
87,86352,S36501A,S36.50,unspecified injury of colon
88,36815,H5319,H53.19,other subjective visual disturbances
89,5969,N329,N32.9,"bladder disorder, unspecified"
90,5772,K863,K86.3,pseudocyst of pancreas
91,30422,F1420,F14.20,"cocaine dependence, uncomplicated"
92,1309,B589,B58.9,"toxoplasmosis, unspecified"
93,84503,S93439A,S93.43,sprain of tibiofibular ligament
94,V8524,Z6828,Z68.28,"body mass index [bmi] 28.0-28.9, adult"
95,41072,I214,I21.4,non-st elevation (nstemi) myocardial infarction
96,03844,A4153,A41.53,sepsis due to serratia
97,78837,N3945,N39.45,continuous leakage
98,20969,D3A098,D3A.09,benign carcinoid tumors of other sites
99,30480,F1920,F19.20,"other psychoactive substance dependence, uncomplicated"
100,4019,I169,I16.9,"hypertensive crisis, unspecified"
101,75430,Q6500,Q65.00,"congenital dislocation of unspecified hip, unilateral"
102,32725,G4735,G47.35,congenital central alveolar hypoventilation syndrome
103,7962,R030,R03.0,"elevated blood-pressure reading, without diagnosis of hypertension"
104,542,K36,K36,other appendicitis
105,51911,J9801,J98.01,acute bronchospasm
106,85206,S066X9A,S06.6X,traumatic subarachnoid hemorrhage
107,9953,T7840XA,T78.40,"allergy, unspecified"
108,60889,N5089,N50.89,other specified disorders of the male genital organs
109,9562,S8400XA,S84.00,"injury of tibial nerve at lower leg level, unspecified leg"
110,85200,S066X0A,S06.6X,traumatic subarachnoid hemorrhage
111,2729,E789,E78.9,"disorder of lipoprotein metabolism, unspecified"
112,8026,S0232XA,S02.32,"fracture of orbital floor, left side"
113,80165,S02109B,S02.10,unspecified fracture of base of skull
114,30285,F641,F64.1,dual role transvestism
115,43885,I69998,I69.99,other sequelae of unspecified cerebrovascular disease
116,37313,H00039,H00.03,abscess of eyelid
117,86343,S36502A,S36.50,unspecified injury of colon
118,79902,R0902,R09.02,hypoxemia
119,29383,F0630,F06.30,"mood disorder due to known physiological condition, unspecified"
120,3383,G893,G89.3,neoplasm related pain (acute) (chronic)
121,V1079,Z8579,Z85.79,"personal history of other malignant neoplasms of lymphoid, hematopoietic and related tissues"
122,V1255,Z86711,Z86.71,personal history of venous thrombosis and embolism
123,99679,T85898A,T85.89,"other specified complication of internal prosthetic devices, implants and grafts, not elsewhere classified"
124,71593,M1990,M19.90,"unspecified osteoarthritis, unspecified site"
125,28521,D631,D63.1,anemia in chronic kidney disease
126,3589,G709,G70.9,"myoneural disorder, unspecified"
127,V4451,Z9351,Z93.51,cutaneous-vesicostomy status
128,24980,E1369,E13.69,other specified diabetes mellitus with other specified complication
129,37482,H02849,H02.84,edema of eyelid
130,V1741,Z8241,Z82.41,family history of sudden cardiac death
131,85106,S06339A,S06.33,"contusion and laceration of cerebrum, unspecified"
