icd_9,icd_10
V109,Z85.9
E9503,X80
E8744,Y62.6
7299,M79.9
7523,Q55.3
7070,L89.0
1737,C44.7
E9391,T43.3X
7902,R73.9
E9330,T45.0X
5968,N32.8
E8540,T43.29
E9433,T46.6
E8748,W49.8
V451,Z99.2
E8585,T50.4X
9964,T85.6
E9441,T50.2X
5233,K05.3
E9809,T50.90
9995,T81.4
8501,S06.0X1A
E9398,T43.95
E9328,T38.2X
4582,I95.2
V640,Z53.8
7876,R11.0
1730,C44.0
7895,R19.8
9697,T43.2X1A
E9466,T37.96
6168,N76.6
70720,L89.1
6188,N81.8
1738,C44.8
V610,Z63.0
E9387,T41.1X
9993,T81.2
V581,Z79.4
E8556,T44.3X
E9411,T44.3X
7806,R50.9
7775,P59.0
V608,Z91.9
1735,C44.5
E8543,T43
E9318,T50.9X5
1733,C44.3
E9370,T42.3X
4440,I25.1
E989,Y09
4538,I82.8
E9294,V81.81
70722,L89.2
2520,E20.0
6082,N50.8
2750,E83.9
E9301,T36.7X
6180,N81.0
E9501,X83
7583,Q91.3
E9378,P04.17
E8548,T43.91
E9342,T37.8
E9356,T39.4X
3234,G04.8
E912,W19
E9502,T14.91
E8704,Y63.4
5191,J98.8
9952,T78.2
E9397,T43.69
E9241,W22.9
E9420,T46.0X5
E9801,Y21.9
0414,A49.1
4251,I42.8
E8619,T50.Z
E9363,P04.13
E8500,T40.0
70724,L89.2
E9438,T50.9X5
E9408,T43.69
E8584,T47.96
E9470,T50.995A
E8587,T49
7931,R91.8
2765,E86.0
E9386,T41.3X
E9401,T50.7X
1734,C44.4
E9422,T46.5X
E9478,T50.8X
E8708,T81.89
7798,P96.8
E9331,T45.1X
E8705,T81.4
9980,T81.1
V0262,Z28.3
E9504,T50.901A
5997,N39.0
E8654,T54.3
E9803,T50.9X5
E8694,T43.9
7845,R47.9
E8742,W44.1
E9361,T42.0X5
E9307,T45.1X5
2778,E88.9
5163,J84.10
2865,D68.59
E8550,T50.9X1A
E9800,T50.9X5
6118,N64.89
E9500,T39.8X
E9138,T71.51XA
7992,R99
E9346,T50.9X5
E9347,T80.9X5
36570,H40.0X
9996,T88.7
E9319,T50.9X5
E9821,T50.9X5
V181,F91.9
E9329,T50.9X5
E9805,T50.9X5
E851,T40.3X
3370,G24.9
E9392,T43.5X5
9690,T40.6X
1739,C44.9
5280,K12.0
E9453,T43.5X
E9413,T44.3X
7718,P38.8
E9447,T50.4X
2824,D57.4
E9380,T42.8X
E8551,T46.0X1
1731,C44.1
E9358,T39.8X
70725,L89.15
E8582,T43.0X1
70721,L89.11
E9445,T50.3X
5640,K59.0
E8624,T50.9X5
7662,P07.39
E9315,T37.3X5
5888,N18.9
4781,J39.3
E8589,T43.8X1
E9389,T50.9X5
E8588,T43.9X1
E9335,T50.9X5
E9394,T46.5X5A
E9308,Z16.29
9983,T81.4
71970,M25.5
E9344,T45.515A
E9306,T37.1X5A
7793,P96.89
E8609,T51.9
E9345,T45.515A
2333,D05.9
E8503,T40.2
E8613,T50.6
E8710,T81.5
E8532,T44.4
E9309,T45.8
E9509,J69.8
2840,D61.1
70723,L89.3
E9530,X71
585,N18.9
2880,D70
E8554,T40.6
E9359,T39.395A
7721,P52.0
V138,Z86.59
E9451,T46.5X5A
2766,E87.2
3483,G93.4
9974,T81.4
2794,D81.9
3578,G61.9
E9325,T46.6X5A
E8637,T50.9
E9804,T50.905A
E9506,T49.4X
6951,L40.9
E8502,T40.1
E9425,T46.3X
E9463,T49.3X
E8600,T51.0X1A
2874,D69.6
5118,J94.8
E857,T42.4X1A
E9620,X92.0
9708,T45.8X1A
E9393,T43.59
5996,N39.3
2740,M10.0
E8700,T83.0X1A
5302,K22.2
V583,Z51.89
7687,P29.3
V155,Z86.69
V135,Z03.89
E9399,T43.505A
E9360,T43.6X5A
9994,T80.9
E9455,T43.505A
2898,D72.9
36573,H40.053
V122,Z86.11
5128,J94.2
7708,P28.8
E9421,T46.0X5A
1732,C44.2
E9412,T44.4X5A
3592,G73.3
V644,Z71.7
7701,P07.1
E8583,T50.9X1A
5672,K65.9
E9053,T63.4X1A
4881,J09.X1
E9385,T41.3X5A
V017,Z23
V152,Z92.89
E9424,T46.3X
9973,T81.49XA
3337,G25.3
E8714,W27.XXA
E9505,X71
E9426,T46.4X5A
E9499,T50.Z9
E8740,W27.XXA
E9314,T36.0X5A
7809,R53.81
E9443,T43.505A
3236,G04.90
E9479,T50.905A
7671,P15.4
E9460,T43.505A
E9320,T38.0X5A
E8668,T50.5X1A
E9305,T45.0X5A
E8501,T40.1X1A
E8603,T50.8X1A
E8709,W29.XXA
E9334,T45.3X5A
E8655,T51.9
E9340,T45.4X
2773,E88.3
2848,D61.9
E9419,T44.95XA
E9395,T46.5X5A
