Token Index,ICD-9,ICD-10,ICD-10-Align-Hierarchy,SHORT-TITLE
0,80607,S14137A,S14.13,anterior cord syndrome of cervical spinal cord
1,90003,S15009A,S15.00,unspecified injury of carotid artery
2,7062,L723,L72.3,sebaceous cyst
3,92310,S5010XA,S50.10,contusion of unspecified forearm
4,64622,O1215,O12.15,"gestational proteinuria, complicating the puerperium"
5,V5350,Z4659,Z46.59,encounter for fitting and adjustment of other gastrointestinal appliance and device
6,27786,E71548,E71.54,other peroxisomal disorders
7,29650,F3130,F31.30,"bipolar disorder, current episode depressed, mild or moderate severity, unspecified"
8,V6141,Z6372,Z63.72,alcoholism and drug addiction in family
9,3859,H7490,H74.90,"unspecified disorder of middle ear and mastoid, unspecified ear"
10,2379,D439,D43.9,"neoplasm of uncertain behavior of central nervous system, unspecified"
11,37302,H01029,H01.02,squamous blepharitis
12,9249,T1490XA,T14.90,"injury, unspecified"
13,36202,E113599,E11.35,type 2 diabetes mellitus with proliferative diabetic retinopathy
14,E8209,V8692XA,V86.92,unspecified occupant of snowmobile injured in nontraffic accident
15,81406,S62186A,S62.18,fracture of trapezoid [smaller multangular]
16,43330,I658,I65.8,occlusion and stenosis of other precerebral arteries
17,87373,S025XXB,S02.5,fracture of tooth (traumatic)
18,E8700,T83.0X1A,T83.0,mechanical complication of urinary catheter
19,65673,O4393,O43.93,"unspecified placental disorder, third trimester"
20,85312,S06362A,S06.36,"traumatic hemorrhage of cerebrum, unspecified"
21,3319,G319,G31.9,"degenerative disease of nervous system, unspecified"
22,E0053,Y9344,Y93.44,"activity, trampolining"
23,53111,K56699,K56.69,other intestinal obstruction
24,4169,I279,I27.9,"pulmonary heart disease, unspecified"
25,00589,A058,A05.8,other specified bacterial foodborne intoxications
26,84210,S66919A,S66.91,"strain of unspecified muscle, fascia and tendon at wrist and hand level"
27,66534,O713,O71.3,obstetric laceration of cervix
28,1762,C462,C46.2,kaposi's sarcoma of palate
29,80316,S06339A,S06.33,"contusion and laceration of cerebrum, unspecified"
30,E8851,V00151A,V00.15,heelies accident
31,71611,M12519,M12.51,"traumatic arthropathy, shoulder"
32,1512,C163,C16.3,malignant neoplasm of pyloric antrum
33,5184,J810,J81.0,acute pulmonary edema
34,6938,L278,L27.8,dermatitis due to other substances taken internally
35,08881,A6920,A69.20,"lyme disease, unspecified"
36,6011,N411,N41.1,chronic prostatitis
37,3007,F4522,F45.22,body dysmorphic disorder
38,V552,Z432,Z43.2,encounter for attention to ileostomy
39,1535,C181,C18.1,malignant neoplasm of appendix
40,9663,T4274XA,T42.74,"poisoning by unspecified antiepileptic and sedative-hypnotic drugs, undetermined"
41,75481,Q676,Q67.6,pectus excavatum
42,6252,N940,N94.0,mittelschmerz
43,29643,F3113,F31.13,"bipolar disorder, current episode manic without psychotic features, severe"
44,80141,S02109A,S02.10,unspecified fracture of base of skull
45,81315,S52126C,S52.12,fracture of head of radius
46,V1049,Z8549,Z85.49,personal history of malignant neoplasm of other male genital organs
47,6244,N9089,N90.89,other specified noninflammatory disorders of vulva and perineum
48,1723,D0339,D03.39,melanoma in situ of other parts of face
49,E9670,Y0711,Y07.11,"biological father, perpetrator of maltreatment and neglect"
50,30481,F1920,F19.20,"other psychoactive substance dependence, uncomplicated"
51,59655,N3644,N36.44,muscular disorders of urethra
52,7533,Q638,Q63.8,other specified congenital malformations of kidney
53,V4574,Z906,Z90.6,acquired absence of other parts of urinary tract
